Time of Day,Process Name,PID,Operation,Path,Source
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gp2\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gp2\OpenWithProgids\WMP11.AssocFile.3G2,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gpp\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.3gpp\OpenWithProgids\WMP11.AssocFile.3GP,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aac\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aac\OpenWithProgids\WMP11.AssocFile.ADTS,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adt\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adt\OpenWithProgids\WMP11.AssocFile.ADTS,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adts\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.adts\OpenWithProgids\WMP11.AssocFile.ADTS,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aif\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aif\OpenWithProgids\WMP11.AssocFile.AIFF,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aifc\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aifc\OpenWithProgids\WMP11.AssocFile.AIFF,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aiff\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.aiff\OpenWithProgids\WMP11.AssocFile.AIFF,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asf\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asf\OpenWithProgids\WMP11.AssocFile.ASF,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asx\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.asx\OpenWithProgids\WMP11.AssocFile.ASX,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.au\OpenWithProgids,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegValueSet,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.au\OpenWithProgids\WMP11.AssocFile.AU,EDR Log
2023-03-04 11:55:36.312,C:\Windows\Explorer.EXE,6276,RegObject,HKU\S-1-5-21-2653666168-4187147423-2934106296-500\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.avi\OpenWithProgids,EDR Log
