ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2020-04-30 00:40:45.544069120,CkwH0l3oQLcOAmskk8,192.168.0.4,8443,10.0.1.6,57110,tcp,,0 days 00:00:00.008045,1932,0,SH,,,0,HADF,6,2184,0,0,
2020-04-30 00:40:45.554253056,C2pTwj2VmyAGR4tSrb,192.168.0.4,8443,10.0.1.6,57111,tcp,,0 days 00:00:00.008302,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.563691008,CLyrdm2ffUK3KoUJs7,192.168.0.4,8443,10.0.1.6,57112,tcp,,0 days 00:00:00.005932,1944,0,SH,,,0,HADF,6,2196,0,0,
2020-04-30 00:40:45.570912000,CUNRCNn5g9OfO9sU8,192.168.0.4,8443,10.0.1.6,57113,tcp,,0 days 00:00:00.006839,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.579222016,CrwYb13EOHb5bMTkE8,192.168.0.4,8443,10.0.1.6,57114,tcp,,0 days 00:00:00.005550,1939,0,SH,,,0,HADF,6,2191,0,0,
2020-04-30 00:40:45.586856960,CRVpfu3k4bA5WeJBm9,192.168.0.4,8443,10.0.1.6,57115,tcp,,0 days 00:00:00.007197,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.595959808,CvYm5h15bfJYwh42oh,192.168.0.4,8443,10.0.1.6,57116,tcp,,0 days 00:00:00.006974,1935,0,SH,,,0,HADF,6,2187,0,0,
2020-04-30 00:40:45.604404992,ClHYXLl0LpBhUbSW3,192.168.0.4,8443,10.0.1.6,57117,tcp,,0 days 00:00:00.006118,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.611664896,CKAldU3MONtt953fHd,192.168.0.4,8443,10.0.1.6,57118,tcp,,0 days 00:00:00.006967,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.619636992,CkYu3C2bZNg36NA4Rh,192.168.0.4,8443,10.0.1.6,57119,tcp,,0 days 00:00:00.007237,1823,0,SH,,,0,HADF,6,2075,0,0,
